RAL,RGB,HEX,CMYK,LRV,English,German,French,Spanish,Italian,Dutch
RAL1000,205-186-136,#CDBA88,0-9-34-20,51.79,Greenbeige,Grünbeige,Beigevert,Beigeverdoso,Beigeverdastro,Groenbeige
RAL1001,208-176-132,#D0B084,0-15-37-18,48.09,Beige,Beige,Beige,Beige,Beige,Beige
RAL1002,210-170-109,#D2AA6D,0-19-48-18,45.07,Sandyellow,Sandgelb,Jaunesable,Amarilloarena,Giallosabbia,Zandgeel
RAL1003,249-169-0,#F9A900,0-32-100-2,49.05,Signalyellow,Signalgelb,Jaunedesécurité,Amarilloseñales,Giallosegnale,Signaalgeel
RAL1004,228-158-0,#E49E00,0-31-100-11,42.13,Goldenyellow,Goldgelb,Jauneor,Amarillooro,Giallooro,Goudgeel
RAL1005,203-143-0,#CB8F00,0-30-100-20,34.15,Honeyyellow,Honiggelb,Jaunemiel,Amarillomiel,Giallomiele,Honinggeel
RAL1006,225-144-0,#E19000,0-36-100-12,37.45,Maizeyellow,Maisgelb,Jaunemaïs,Amarillomaíz,Giallopolenta,Maisgeel
RAL1007,232-140-0,#E88C00,0-40-100-9,37.63,Daffodilyellow,Narzissengelb,Jaunenarcisse,Amarillonarciso,Giallonarciso,Narcissengeel
RAL1011,175-128-80,#AF8050,0-27-54-31,27.65,Brownbeige,Braunbeige,Beigebrun,Beigepardo,Beigemarrone,Bruinbeige
RAL1012,221-175-40,#DDAF28,0-21-82-13,47.83,Lemonyellow,Zitronengelb,Jaunecitron,Amarillolimón,Giallolimone,Citroengeel
RAL1013,227-217-199,#E3D9C7,0-4-12-11,70.76,Oysterwhite,Perlweiß,Blancperlé,Blancoperla,Biancoperla,Parelwit
RAL1014,221-196-155,#DDC49B,0-11-30-13,58.34,Ivory,Elfenbein,Ivoire,Marfil,Avorio,Ivoorkleurig
RAL1015,230-210-181,#E6D2B5,0-9-21-10,67.55,Lightivory,Hellelfenbein,Ivoireclair,Marfilclaro,Avoriochiaro,Lichtivoorkleurig
RAL1016,241-221-57,#F1DD39,0-8-76-5,71.3,Sulfuryellow,Schwefelgelb,Jaunesoufre,Amarilloazufre,Giallozolfo,Zwavelgeel
RAL1017,246-169-81,#F6A951,0-31-67-4,49.8,Saffronyellow,Safrangelb,Jaunesafran,Amarilloazafrán,Giallozafferano,Saffraangeel
